id,price_min,mean_true
91954,Work In Progess,61.21
91955,Work In Progess,63.24
91956,Work In Progess,62.45
831,Work In Progess,61.9
211,Work In Progess,60.13
91959,Work In Progess,61.14
959,Work In Progess,63.46
772,Work In Progess,61.37
152,Work In Progess,62.81
91962,Work In Progess,61.93
91963,Work In Progess,60.53
91964,Work In Progess,60.08
91965,Work In Progess,61.28
713,Work In Progess,59.41
91967,Work In Progess,63.03
91968,Work In Progess,60.46
91969,Work In Progess,62.86
900,Work In Progess,62.77
91970,Work In Progess,59.93
654,Work In Progess,59.74
91972,Work In Progess,61.81
91973,Work In Progess,59.93
91974,Work In Progess,61.1
595,Work In Progess,62.09
91976,Work In Progess,61.32
91977,Work In Progess,62.03
91978,Work In Progess,60.13
91979,Work In Progess,62.92
95919,Work In Progess,61.95
39164,Work In Progess,63.23
91981,Work In Progess,60.58
91982,Work In Progess,60.76
91983,Work In Progess,60.58
91984,Work In Progess,63.46
477,Work In Progess,60.49
91986,Work In Progess,60.21
91987,Work In Progess,63.21
91988,Work In Progess,62.3
91989,Work In Progess,62.63
418,Work In Progess,60.84
92316,Work In Progess,59.88
979,Work In Progess,60.29
91992,Work In Progess,62.15
91993,Work In Progess,62.94
523,Work In Progess,59.91
359,Work In Progess,60.91
91996,Work In Progess,63.32
91997,Work In Progess,62.74
91998,Work In Progess,63.16
91999,Work In Progess,61.3
3,Work In Progess,60.68
30,Work In Progess,63.05
300,Work In Progess,63.34
756,Work In Progess,59.83
92001,Work In Progess,61.74
861,Work In Progess,59.98
241,Work In Progess,59.69
697,Work In Progess,61.79
92005,Work In Progess,62.11
92006,Work In Progess,60.62
92335,Work In Progess,60.41
182,Work In Progess,62.15
93320,Work In Progess,61.07
369,Work In Progess,61.86
92010,Work In Progess,62.42
92011,Work In Progess,60.55
743,Work In Progess,59.82
92013,Work In Progess,61.47
92014,Work In Progess,62.32
92015,Work In Progess,61.36
684,Work In Progess,62.92
92017,Work In Progess,60.1
92018,Work In Progess,60.77
92019,Work In Progess,63.04
251,Work In Progess,61.19
520,Work In Progess,61.32
92021,Work In Progess,62.05
625,Work In Progess,59.89
92023,Work In Progess,60.16
92024,Work In Progess,59.96
92025,Work In Progess,62.07
93665,Work In Progess,60.06
566,Work In Progess,60.97
92028,Work In Progess,62.22
93669,Work In Progess,63.48
753,Work In Progess,62.06
92030,Work In Progess,63.13
507,Work In Progess,60.75
93343,Work In Progess,62.71
93673,Work In Progess,62.72
92034,Work In Progess,59.57
92035,Work In Progess,59.43
448,Work In Progess,59.57
93676,Work In Progess,62.64
93678,Work In Progess,63.02
93679,Work In Progess,62.68
95980,Work In Progess,61.6
904,Work In Progess,59.66
389,Work In Progess,59.41
202,Work In Progess,62.99
95,Work In Progess,59.85
950,Work In Progess,60.13
92045,Work In Progess,60.63
33,Work In Progess,59.61
330,Work In Progess,60.45
92048,Work In Progess,60.71
517,Work In Progess,61.62
704,Work In Progess,60.27
891,Work In Progess,62.72
271,Work In Progess,59.91
92052,Work In Progess,60.06
93693,Work In Progess,62.92
92054,Work In Progess,62.75
92055,Work In Progess,59.77
832,Work In Progess,63.24
93697,Work In Progess,62.33
399,Work In Progess,61.18
96,Work In Progess,62.97
937,Work In Progess,62.43
153,Work In Progess,63.31
93700,Work In Progess,59.54
34,Work In Progess,60.59
96002,Work In Progess,61.17
39249,Work In Progess,63.49
93704,Work In Progess,62.45
340,Work In Progess,61.09
9896,Work In Progess,61.65
281,Work In Progess,63.14
550,Work In Progess,59.61
93708,Work In Progess,63.25
655,Work In Progess,60.65
93164,Work In Progess,60.82
842,Work In Progess,60.63
76,Work In Progess,60.47
596,Work In Progess,63.2
97,Work In Progess,62.63
93713,Work In Progess,61.28
163,Work In Progess,61.92
96016,Work In Progess,61.66
35,Work In Progess,62.26
93718,Work In Progess,59.93
350,Work In Progess,63.48
91861,Work In Progess,61.83
981,Work In Progess,61.05
373,Work In Progess,62.96
478,Work In Progess,63.22
93505,Work In Progess,59.76
911,Work In Progess,62.3
9898,Work In Progess,61.26
96027,Work In Progess,62.79
688,Work In Progess,61.62
852,Work In Progess,62.32
98,Work In Progess,59.79
302,Work In Progess,62.25
793,Work In Progess,62.6
93186,Work In Progess,60.31
36,Work In Progess,62.96
360,Work In Progess,60.79
699,Work In Progess,61.73
9899,Work In Progess,61.46
92206,Work In Progess,60.97
96038,Work In Progess,62.93
921,Work In Progess,61.1
301,Work In Progess,59.82
488,Work In Progess,59.54
94069,Work In Progess,60.4
137,Work In Progess,60.53
242,Work In Progess,60.15
698,Work In Progess,60.82
125,Work In Progess,61.52
99,Work In Progess,61.27
686,Work In Progess,59.56
616,Work In Progess,62.89
